Map,Type,Side,Player Name,Team,Against,Kills,Deaths,Flags,Date,Game,"Game Outcome(Win:1, Draw:0, Lose:-1)",Match,"Match Outcome (Win: 1, Lose: 0)"
River,CTF,Blue,Scabbage,Pink_1,Teal_8,33,45,0,20181105,1,0,1,-1
River,CTF,Blue,Smellykid83,Pink_1,Teal_8,54,53,0,20181105,1,0,1,-1
River,CTF,Blue,The_Woman,Pink_1,Teal_8,33,48,0,20181105,1,0,1,-1
River,CTF,Blue,PengoPlays,Pink_1,Teal_8,27,31,0,20181105,1,0,1,-1
River,CTF,Red,joshie,Teal_8,Pink_1,50,39,0,20181105,1,0,1,1
River,CTF,Red,DaybridgeGhost,Teal_8,Pink_1,45,27,0,20181105,1,0,1,1
River,CTF,Red,Borg,Teal_8,Pink_1,36,36,0,20181105,1,0,1,1
River,CTF,Red,2dk,Teal_8,Pink_1,46,45,0,20181105,1,0,1,1
River,CTF,Red,Scabbage,Pink_1,Teal_8,48,45,0,20181105,2,-1,1,-1
River,CTF,Red,Smellykid83,Pink_1,Teal_8,34,51,0,20181105,2,-1,1,-1
River,CTF,Red,rmmm1m,Pink_1,Teal_8,45,42,0,20181105,2,-1,1,-1
River,CTF,Red,PengoPlays,Pink_1,Teal_8,29,34,0,20181105,2,-1,1,-1
River,CTF,Blue,joshie,Teal_8,Pink_1,38,46,1,20181105,2,1,1,1
River,CTF,Blue,DaybridgeGhost,Teal_8,Pink_1,46,39,0,20181105,2,1,1,1
River,CTF,Blue,Borg,Teal_8,Pink_1,43,34,0,20181105,2,1,1,1
River,CTF,Blue,2dk,Teal_8,Pink_1,35,47,0,20181105,2,1,1,1
River,CTF,Blue,ChaseJake,White_4,Green_5,22,14,2,20181023,1,1,2,1
River,CTF,Blue,Sparklingrabbit,White_4,Green_5,25,18,0,20181023,1,1,2,1
River,CTF,Blue,UnicornPrincess,White_4,Green_5,24,16,0,20181023,1,1,2,1
River,CTF,Blue,Loaded_Lemons,White_4,Green_5,21,14,1,20181023,1,1,2,1
River,CTF,Red,Fastrabbit17,Green_5,White_4,10,21,0,20181023,1,-1,2,-1
River,CTF,Red,rwc,Green_5,White_4,13,21,0,20181023,1,-1,2,-1
River,CTF,Red,pcfixit,Green_5,White_4,24,23,0,20181023,1,-1,2,-1
River,CTF,Red,dvd,Green_5,White_4,15,27,0,20181023,1,-1,2,-1
River,CTF,Red,ChaseJake,White_4,Green_5,22,13,2,20181023,2,1,2,1
River,CTF,Red,jamlikejelly,White_4,Green_5,5,4,0,20181023,2,1,2,1
River,CTF,Red,Buck,White_4,Green_5,23,16,1,20181023,2,1,2,1
River,CTF,Red,Loaded_Lemons,White_4,Green_5,30,12,0,20181023,2,1,2,1
River,CTF,Blue,Fastrabbit17,Green_5,White_4,19,22,0,20181023,2,-1,2,-1
River,CTF,Blue,rwc,Green_5,White_4,11,21,0,20181023,2,-1,2,-1
River,CTF,Blue,pcfixit,Green_5,White_4,21,23,0,20181023,2,-1,2,-1
River,CTF,Blue,dvd,Green_5,White_4,7,24,0,20181023,2,-1,2,-1
River,CTF,Blue,Eva,Yellow_7,Orange_2,15,20,0,20181026,1,-1,3,-1
River,CTF,Blue,unlistedgamer,Yellow_7,Orange_2,5,12,0,20181026,1,-1,3,-1
River,CTF,Blue,farrerz,Yellow_7,Orange_2,11,22,0,20181026,1,-1,3,-1
River,CTF,Blue,Hoborg,Yellow_7,Orange_2,18,19,0,20181026,1,-1,3,-1
River,CTF,Red,GoodBet,Orange_2,Yellow_7,22,13,1,20181026,1,1,3,1
River,CTF,Red,Dwangler,Orange_2,Yellow_7,23,13,0,20181026,1,1,3,1
River,CTF,Red,mch,Orange_2,Yellow_7,12,12,1,20181026,1,1,3,1
River,CTF,Red,Cool_D,Orange_2,Yellow_7,16,37,1,20181026,1,1,3,1
