Map,Type,Side,Player Name,Team,Against,Kills,Deaths,Flags,Date,Game,"Game Outcome(Win:1, Draw:0, Lose:-1)",Match,"Match Outcome (Win: 1, Lose: 0)",Seed,Against Seed
River,CTF,Blue,Scabbage,Pink,Teal,33,45,0,20181105,1,0,1,0,1,8
River,CTF,Blue,Smellykid83,Pink,Teal,54,53,0,20181105,1,0,1,0,1,8
River,CTF,Blue,The_Woman,Pink,Teal,33,48,0,20181105,1,0,1,0,1,8
River,CTF,Blue,PengoPlays,Pink,Teal,27,31,0,20181105,1,0,1,0,1,8
River,CTF,Red,joshie,Teal,Pink,50,39,0,20181105,1,0,1,0,8,1
River,CTF,Red,DaybridgeGhost,Teal,Pink,45,27,0,20181105,1,0,1,0,8,1
River,CTF,Red,Borg,Teal,Pink,36,36,0,20181105,1,0,1,0,8,1
River,CTF,Red,for2dk,Teal,Pink,46,45,0,20181105,1,0,1,0,8,1
River,CTF,Red,Scabbage,Pink,Teal,48,45,0,20181105,2,-1,1,0,1,8
River,CTF,Red,Smellykid83,Pink,Teal,34,51,0,20181105,2,-1,1,0,1,8
River,CTF,Red,rmmm1m,Pink,Teal,45,42,0,20181105,2,-1,1,0,1,8
River,CTF,Red,PengoPlays,Pink,Teal,29,34,0,20181105,2,-1,1,0,1,8
River,CTF,Blue,joshie,Teal,Pink,38,46,1,20181105,2,1,1,1,8,1
River,CTF,Blue,DaybridgeGhost,Teal,Pink,46,39,0,20181105,2,1,1,1,8,1
River,CTF,Blue,Borg,Teal,Pink,43,34,0,20181105,2,1,1,1,8,1
River,CTF,Blue,for2dk,Teal,Pink,35,47,0,20181105,2,1,1,1,8,1
River,CTF,Blue,ChaseJake,White,Green,22,14,2,20181023,1,1,2,1,4,5
River,CTF,Blue,Sparklingrabbit,White,Green,25,18,0,20181023,1,1,2,1,4,5
River,CTF,Blue,UnicornPrincess,White,Green,24,16,0,20181023,1,1,2,1,4,5
River,CTF,Blue,Loaded_Lemons,White,Green,21,14,1,20181023,1,1,2,1,4,5
River,CTF,Red,Fastrabbit17,Green,White,10,21,0,20181023,1,-1,2,0,5,4
River,CTF,Red,Robert_ssbn732,Green,White,13,21,0,20181023,1,-1,2,0,5,4
River,CTF,Red,pcfixit,Green,White,24,23,0,20181023,1,-1,2,0,5,4
River,CTF,Red,DavidBengt,Green,White,15,27,0,20181023,1,-1,2,0,5,4
River,CTF,Red,ChaseJake,White,Green,22,13,2,20181023,2,1,2,1,4,5
River,CTF,Red,jamlikejelly,White,Green,5,4,0,20181023,2,1,2,1,4,5
River,CTF,Red,Buck,White,Green,23,16,1,20181023,2,1,2,1,4,5
River,CTF,Red,Loaded_Lemons,White,Green,30,12,0,20181023,2,1,2,1,4,5
River,CTF,Blue,Fastrabbit17,Green,White,19,22,0,20181023,2,-1,2,0,5,4
River,CTF,Blue,Robert_ssbn732,Green,White,11,21,0,20181023,2,-1,2,0,5,4
River,CTF,Blue,pcfixit,Green,White,21,23,0,20181023,2,-1,2,0,5,4
River,CTF,Blue,DavidBengt,Green,White,7,24,0,20181023,2,-1,2,0,5,4
River,CTF,Blue,enigmaticeva,Yellow,Orange,15,20,0,20181026,1,-1,3,0,7,2
River,CTF,Blue,unlistedgamer,Yellow,Orange,5,12,0,20181026,1,-1,3,0,7,2
River,CTF,Blue,farrerz,Yellow,Orange,11,22,0,20181026,1,-1,3,0,7,2
River,CTF,Blue,Hoborg,Yellow,Orange,18,19,0,20181026,1,-1,3,0,7,2
River,CTF,Red,GoodBet,Orange,Yellow,22,13,1,20181026,1,1,3,1,2,7
River,CTF,Red,Dwangler,Orange,Yellow,23,13,0,20181026,1,1,3,1,2,7
River,CTF,Red,mch,Orange,Yellow,12,12,1,20181026,1,1,3,1,2,7
River,CTF,Red,Cool_D,Orange,Yellow,16,37,1,20181026,1,1,3,1,2,7
River,CTF,Blue,EVR-1,Orange,Yellow,31,37,0,20182026,2,-1,3,1,2,7
River,CTF,Blue,GoodBet,Orange,Yellow,52,46,0,20182026,2,-1,3,1,2,7
River,CTF,Blue,mch,Orange,Yellow,33,47,0,20182026,2,-1,3,1,2,7
River,CTF,Blue,Dwangler,Orange,Yellow,40,43,0,20182026,2,-1,3,1,2,7
River,CTF,Red,unlistedgamer,Yellow,Orange,16,19,0,20182026,2,1,3,0,7,2
River,CTF,Red,enigmaticeva,Yellow,Orange,62,42,0,20182026,2,1,3,0,7,2
River,CTF,Red,Hoborg,Yellow,Orange,37,46,0,20182026,2,1,3,0,7,2
River,CTF,Red,farrerz,Yellow,Orange,58,49,1,20182026,2,1,3,0,7,2
River,CTF,Blue,enigmaticeva,Yellow,Orange,60,50,0,20181026,3,-1,3,0,7,2
River,CTF,Blue,unlistedgamer,Yellow,Orange,14,29,0,20181026,3,-1,3,0,7,2
River,CTF,Blue,Hoborg,Yellow,Orange,46,50,0,20181026,3,-1,3,0,7,2
River,CTF,Blue,farrerz,Yellow,Orange,57,51,0,20181026,3,-1,3,0,7,2
River,CTF,Red,Dwangler,Orange,Yellow,48,42,0,20181026,3,1,3,1,2,7
River,CTF,Red,GoodBet,Orange,Yellow,59,46,2,20181026,3,1,3,1,2,7
River,CTF,Red,mch,Orange,Yellow,33,46,0,20181026,3,1,3,1,2,7
River,CTF,Red,Cool_D,Orange,Yellow,40,43,0,20181026,3,1,3,1,2,7
River,CTF,Blue,Skelly,Black,Purple,59,43,0,20181024,1,0,4,0,3,6
River,CTF,Blue,Fancyam,Black,Purple,38,46,0,20181024,1,0,4,0,3,6
River,CTF,Blue,michaelholland2015,Black,Purple,37,42,0,20181024,1,0,4,0,3,6
River,CTF,Blue,Pigsty55,Black,Purple,36,57,1,20181024,1,0,4,0,3,6
River,CTF,Red,chesamo,Purple,Black,29,43,0,20181024,1,0,4,1,6,3
River,CTF,Red,jongyi12,Purple,Black,61,43,1,20181024,1,0,4,1,6,3
River,CTF,Red,StairChicken,Purple,Black,48,45,0,20181024,1,0,4,1,6,3
River,CTF,Red,Willybub,Purple,Black,50,39,0,20181024,1,0,4,1,6,3
