Map,Type,Side,Player Name,Team,Against,Kills,Deaths,Flags,Date,Game,"Game Outcome(Win:1, Draw:0, Lose:-1)",Match,"Match Outcome (Win: 1, Lose: 0)"
River,TB,Blue,mch,Orange,White,18,25,0,20180827,1,1,1,
River,TB,Blue,Dwangler,Orange,White,27,22,0,20180827,1,1,1,
River,TB,Blue,Cool_D,Orange,White,18,18,0,20180827,1,1,1,
River,TB,Blue,GoodBet,Orange,White,37,27,0,20180827,1,1,1,
River,TB,Red,Loaded_Lemons,White,Orange,24,22,0,20180827,1,-1,1,
River,TB,Red,ChaseJake,White,Orange,37,23,0,20180827,1,-1,1,
River,TB,Red,jamlikejelly,White,Orange,20,28,0,20180827,1,-1,1,
River,TB,Red,UnicornPrincess,White,Orange,11,27,0,20180827,1,-1,1,
River,TB,Blue,rmmm1m,Pink,Black,34,31,0,20180827,1,-1,2,
River,TB,Blue,Smellykid83,Pink,Black,29,23,0,20180827,1,-1,2,
River,TB,Blue,PengoPlays,Pink,Black,24,25,0,20180827,1,-1,2,
River,TB,Blue,The_Woman,Pink,Black,12,21,0,20180827,1,-1,2,
River,TB,Red,Skelly,Black,Pink,31,24,0,20180827,1,1,2,
River,TB,Red,Kimbah,Black,Pink,19,23,0,20180827,1,1,2,
River,TB,Red,michaelholland2015,Black,Pink,23,22,0,20180827,1,1,2,
River,TB,Red,Ottolotl,Black,Pink,27,30,0,20180827,1,1,2,
River,TB,Blue,Dinoman715,Purple,Teal,19,25,0,20180827,1,-1,3,
River,TB,Blue,Willybub,Purple,Teal,25,24,0,20180827,1,-1,3,
River,TB,Blue,jongyi12,Purple,Teal,28,25,0,20180827,1,-1,3,
River,TB,Blue,StairChicken,Purple,Teal,22,26,0,20180827,1,-1,3,
River,TB,Red,DaybridgeGhost,Teal,Purple,24,27,0,20180827,1,1,3,
River,TB,Red,Bassna,Teal,Purple,22,17,0,20180827,1,1,3,
River,TB,Red,for2dk,Teal,Purple,24,29,0,20180827,1,1,3,
River,TB,Red,joshie,Teal,Purple,30,21,0,20180827,1,1,3,
River,TB,Blue,farrerz,Yellow,Green,20,27,0,20180827,1,-1,4,
River,TB,Blue,BigRedRobotOfDoom,Yellow,Green,25,24,0,20180827,1,-1,4,
River,TB,Blue,serra,Yellow,Green,19,24,0,20180827,1,-1,4,
River,TB,Blue,Hoborg,Yellow,Green,24,25,0,20180827,1,-1,4,
River,TB,Red,plabick,Green,Yellow,25,27,0,20180827,1,1,4,
River,TB,Red,Priscilla,Green,Yellow,31,14,0,20180827,1,1,4,
River,TB,Red,pcfixit,Green,Yellow,23,19,0,20180827,1,1,4,
River,TB,Red,Fastrabbit17,Green,Yellow,21,28,0,20180827,1,1,4,
Clear Cut,TB,Blue,Scabbage,Pink,Orange,33,22,0,20180829,1,-1,5,
Clear Cut,TB,Blue,Smellykid83,Pink,Orange,29,30,0,20180829,1,-1,5,
Clear Cut,TB,Blue,The_Woman,Pink,Orange,10,20,0,20180829,1,-1,5,
Clear Cut,TB,Blue,WeedAndHops,Pink,Orange,20,28,0,20180829,1,-1,5,
Clear Cut,TB,Red,EVR-1,Orange,Pink,13,18,0,20180829,1,1,5,
Clear Cut,TB,Red,Cool_D,Orange,Pink,20,17,0,20180829,1,1,5,
Clear Cut,TB,Red,Dwangler,Orange,Pink,30,26,0,20180829,1,1,5,
Clear Cut,TB,Red,GoodBet,Orange,Pink,37,31,0,20180829,1,1,5,
Clear Cut,TB,Blue,jongyi12,Purple,White,24,29,0,20180829,1,-1,6,
Clear Cut,TB,Blue,Dinoman715,Purple,White,12,17,0,20180829,1,-1,6,
Clear Cut,TB,Blue,Willybub,Purple,White,10,27,0,20180829,1,-1,6,
Clear Cut,TB,Blue,StairChicken,Purple,White,18,27,0,20180829,1,-1,6,
Clear Cut,TB,Red,UnicornPrincess,White,Purple,19,18,0,20180829,1,1,6,
Clear Cut,TB,Red,Sparklingrabbit,White,Purple,30,11,0,20180829,1,1,6,
Clear Cut,TB,Red,Buck,White,Purple,27,19,0,20180829,1,1,6,
Clear Cut,TB,Red,ChaseJake,White,Purple,24,16,0,20180829,1,1,6,
Clear Cut,TB,Blue,Fancyam,Black,Green,34,21,0,20180829,1,1,7,
